MD_ft,INC_deg,AZI_deg
0,0.0,181.41
100,0.0,180.09
200,0.0,180.64
300,0.0,177.95
400,0.0,179.95
500,0.0,179.16
600,0.0,178.78
700,0.0,179.12
800,0.0,179.67
900,0.0,180.92
1000,0.0,178.67
1100,0.0,180.03
1200,0.0,179.52
1300,0.0,179.67
1400,0.0,181.0
1500,0.0,180.54
1600,0.0,181.34
1700,0.0,179.85
1800,0.0,179.3
1900,0.0,179.78
2000,0.0,180.24
2100,0.0,180.18
2200,0.0,178.92
2300,0.0,180.09
2400,0.0,180.23
2500,0.0,182.52
2600,0.0,181.88
2700,0.0,179.15
2800,0.0,179.71
2900,0.0,178.54
3000,0.0,179.41
3100,0.0,180.32
3200,0.0,181.21
3300,0.0,179.27
3400,0.0,179.35
3500,0.0,177.85
3600,0.0,179.84
3700,0.0,178.94
3800,0.0,179.47
3900,0.0,179.12
4000,0.0,179.91
4100,2.79,179.74
4200,4.18,181.53
4300,7.25,186.63
4400,9.5,184.71
4500,11.92,186.4
4600,14.78,190.84
4700,16.58,193.41
4800,19.26,190.83
4900,21.06,193.13
5000,23.53,195.34
5100,26.07,198.23
5200,26.65,197.01
5300,29.79,199.25
5400,31.88,201.78
5500,33.93,202.93
5600,36.39,203.62
5700,39.94,205.37
5800,40.17,205.63
5900,43.72,208.26
6000,43.65,209.73
6100,46.76,211.73
6200,49.15,212.44
6300,51.45,214.97
6400,53.47,217.01
6500,55.42,217.66
6600,56.36,219.35
6700,58.08,220.55
6800,60.91,222.0
6900,61.8,222.78
7000,62.62,225.32
7100,64.38,226.4
7200,66.15,230.09
7300,68.83,231.07
7400,70.06,231.39
7500,71.95,231.74
7600,72.47,232.89
7700,74.3,236.69
7800,75.98,237.26
7900,76.49,238.98
8000,78.31,238.26
8100,78.56,242.43
8200,79.9,243.45
8300,80.93,243.39
8400,81.26,245.53
8500,83.54,247.76
8600,83.65,249.05
8700,84.85,250.21
8800,85.98,251.9
8900,86.65,253.25
9000,87.47,255.15
9100,87.43,257.97
9200,87.69,255.43
9300,88.43,259.26
9400,87.54,261.18
9500,88.07,262.8
9600,88.45,263.63
9700,88.92,263.74
9800,90.0,267.33
9900,89.24,270.23
10000,89.7,268.47
10100,90.0,270.86
10200,89.71,269.67
10300,90.0,269.94
10400,89.25,268.95
10500,89.84,269.67
10600,89.24,271.3
10700,89.73,270.58
10800,90.0,271.73
10900,88.62,271.18
11000,90.0,270.44
11100,90.0,271.74
11200,89.52,270.44
11300,88.84,270.83
11400,90.0,269.7
11500,89.58,270.07
11600,90.0,269.3
11700,90.0,270.99
11800,90.0,268.82
11900,89.81,270.78
12000,89.18,269.81
12100,90.0,271.17
12200,90.0,270.75
12300,90.0,271.82
12400,90.0,270.73
12500,90.0,268.43
12600,90.0,269.93
12700,89.05,268.83
12800,89.49,269.48
12900,89.26,271.51
13000,89.69,270.64
13100,88.9,269.3
13200,90.0,268.99
13300,89.82,270.03
13400,88.82,268.78
13500,89.19,269.33
13600,90.0,270.31
13700,90.0,271.16
13800,90.0,270.61
13900,90.0,267.71
14000,90.0,270.3
14100,89.21,270.07
14200,88.29,270.41
14300,90.0,271.62
14400,89.35,267.94
14500,89.67,269.41
14600,89.51,270.59
14700,89.89,268.42
14800,90.0,271.48
14900,90.0,270.37
15000,89.87,270.85
15100,89.17,269.43
15200,88.66,270.81
15300,89.61,271.07
15400,89.96,270.23
15500,90.0,270.23
15600,90.0,270.27
15700,90.0,269.14
15800,89.6,269.85
15900,89.05,269.85
16000,89.23,270.38
16100,89.42,271.0
16200,90.0,268.94
16300,89.34,269.87
16400,90.0,271.48
16500,89.28,269.26
16600,90.0,269.18
16700,90.0,270.2
16800,89.87,270.84
16900,89.97,270.01
17000,89.48,271.33
17100,90.0,270.86
17200,89.64,270.84
17300,89.02,270.55
17400,88.98,272.33
17500,90.0,269.79
17600,90.0,268.0
17700,90.0,271.6
17800,89.91,269.54
17900,90.0,270.11
18000,90.0,271.31
18100,90.0,268.4
18200,89.67,268.75
18300,90.0,268.4
18400,90.0,269.21
18500,90.0,270.44
18600,90.0,270.52
18700,89.02,270.28
18800,88.91,268.59
18900,90.0,267.69
19000,90.0,270.05
19100,89.86,269.53
19200,89.69,270.46
19300,90.0,270.7
19400,89.11,270.14
19500,89.28,270.76
19600,90.0,270.23
19700,89.68,270.53
19800,90.0,269.3
19900,89.87,269.82
20000,90.0,270.2
